failure,error_count,operational_hours,temperature,vibration,pressure,humidity,last_maintenance_days,robot_age_months,power_consumption
0,14,8175.780326713889,59.27235840665652,0.007461145867566854,83.17531424422101,91.9387008760182,1619,72,489.9981841559029
0,14,8166.3631044916665,63.6736017699026,0.3171113318768124,17.30416179859281,57.99650576604958,4404,60,846.9070718575789
0,13,8148.751160047223,80.31599994661036,0.2472246461550367,50.10695023668349,72.35633752627835,9020,10,872.7836219457938
0,9,8124.751993380555,7.828755142234889,0.781080407641132,133.7490082337731,69.15416835984342,5542,60,608.8199343008421
0,13,8124.272271158334,58.57055711396186,0.9740272792266294,31.184896830887276,7.018800881237275,1470,58,531.6542402149757
0,13,8101.363660047222,8.028291761119966,0.41147248293247096,83.50491829725969,93.28341724396037,3887,67,706.2199926819834
0,13,8099.151993380556,70.07901356666586,0.2738049175389563,0.8180721235704458,54.31483345822097,7716,92,581.6675461416135
0,13,8091.751160047223,17.473224039675728,0.6152940176786963,60.42052074038119,86.24669392920406,8252,104,995.8903716635236
0,13,8091.141437825,67.29436342104005,0.7257323763012671,0.1256926287868776,51.01457664152773,9581,2,461.87947568079755
0,13,8076.693660047222,25.85529171076091,0.7563248761989785,137.87657898744334,46.441579100731836,9874,96,437.1559874264508
0,13,8075.040326713889,38.37082078163911,0.24158335940186904,32.03701164707652,86.72772958965014,7395,46,24.255772504173212
0,14,8025.041993380555,59.8292251553312,0.6497062126893236,19.092059506349624,10.745752050108015,2589,106,71.73811731045232
0,13,7974.658937825,19.822050538486224,0.9290615695251925,84.8217761527927,74.90256870859962,4092,15,446.45782781693845
0,14,7958.896160047222,74.9347352439562,0.44707796193063953,54.304672038658,7.618116023828314,8845,13,631.4154128703591
0,14,7956.255326713889,34.83989931191378,0.21123895090823686,110.8289581101011,92.18121761352982,4539,7,736.1751212278454
0,14,7956.004493380556,45.44787753713597,0.10084528185030472,0.17489971954390837,24.96167380804726,4485,95,84.21382522218023
0,13,7955.519493380555,66.86561382595657,0.5594712516514502,99.53664027663925,71.9212769681115,2556,87,373.8770348630236
0,14,7926.4000489361115,78.71205204628203,0.129611543617129,43.15677698741332,3.5364840143176535,9089,29,750.9227781199141
0,14,7924.207548936111,17.011716634811847,0.9659640836705556,120.95199484232936,59.06673953370651,1183,79,298.31475878697546
0,14,7921.663937825,98.28682627340741,0.5325920131833304,97.61088534083959,45.797701202475835,735,52,383.2745674371867
0,14,7921.575882269444,6.834135019555121,0.5261055717714125,65.21037133870936,2.5481655163492434,859,44,557.367792359003
0,14,7913.384771158333,5.958084761897742,0.4274535019372834,145.32458581827348,44.72109479437742,6079,8,846.1124562501893
0,14,7843.344771158333,73.07456323977526,0.2051478497627024,26.084797745068688,0.25095268037387264,4619,73,243.2547086675687
0,14,7840.308937825,37.350985326002004,0.7141489923038142,71.81836825842373,81.43653111549563,5299,95,194.43288908623524
0,14,7839.540604491666,90.11143781147086,0.2842565613998669,82.22209014818273,28.090559312177298,9693,103,193.0662290430094
0,14,7830.677548936111,2.6993591464633093,0.5163776031714982,82.48620897511087,59.920762417023845,2579,72,412.72910804871987
0,14,7805.597548936111,25.52901513241379,0.8350083216659554,20.13880613909631,77.14380671136887,5430,83,734.9528781662289
